time,lot_code,taxonomic_group,specimen_count,collection_event_code,date_collected_start,date_collected_end,parent_lot,num_morpho_spp,num_bark_beetle_specimens,trap,site_name,num_weevils_spp,num_bark_beetles_spp
2016-03-01,,Curculionidae,0,,2/24/16,3/9/16,LOT008859,0,,S0004,OIST Open,,
2016-03-15,LOT025159,Curculionidae,1,OK01008,3/9/16,3/23/16,,1,0,S0004,OIST Open,,
2016-04-01,LOT056900,Curculionidae,2,,3/23/16,4/6/16,LOT012062,2,0,S0004,OIST Open,,
2016-04-15,LOT056901,Curculionidae,3,,4/6/16,4/20/16,LOT013406,3,1,S0004,OIST Open,2,1
2016-05-01,LOT056902,Curculionidae,2,,4/20/16,5/4/16,LOT014766,2,2,S0004,OIST Open,0,2
2016-03-01,,Curculionidae,0,,2/24/16,3/9/16,LOT008923,0,0,S0005,OIST Open,0,0
2016-03-15,LOT025173,Curculionidae,2,OK01009,3/9/16,3/23/16,,1,0,S0005,OIST Open,,
2016-04-01,LOT056904,Curculionidae,1,,3/23/16,4/6/16,LOT012193,1,0,S0005,OIST Open,1,0
2016-04-15,LOT056905,Curculionidae,1,,4/6/16,4/20/16,LOT013323,1,0,S0005,OIST Open,1,0
2016-05-01,LOT056906,Curculionidae,2,,4/20/16,5/4/16,LOT014668,2,0,S0005,OIST Open,2,0
2016-03-01,LOT056909,Curculionidae,1,,2/24/16,3/9/16,LOT008961,1,0,S0006,OIST Open,1,0
2016-03-15,LOT056910,Curculionidae,3,,3/9/16,3/23/16,LOT010801,3,1,S0006,OIST Open,2,1
2016-04-01,LOT056911,Curculionidae,3,,3/23/16,4/6/16,LOT012087,2,0,S0006,OIST Open,2,0
2016-04-15,LOT056912,Curculionidae,3,,4/6/16,4/20/16,LOT013422,2,0,S0006,OIST Open,2,0
2016-05-01,LOT056913,Curculionidae,5,,4/20/16,5/4/16,LOT014748,4,0,S0006,OIST Open,4,0
2016-03-01,LOT025287,Curculionidae,4,,2/24/16,3/9/16,LOT009295,3,1,S0012,Takeyambaru,2,1
2016-03-15,LOT025288,Curculionidae,8,,3/9/16,3/23/16,LOT011163,3,0,S0012,Takeyambaru,3,0
2016-04-01,LOT025289,Curculionidae,5,,3/23/16,4/6/16,LOT012030,3,0,S0012,Takeyambaru,3,0
2016-04-15,LOT025290,Curculionidae,5,,4/6/16,4/20/16,LOT013510,3,0,S0012,Takeyambaru,3,0
2016-05-01,LOT025291,Curculionidae,1,,4/20/16,5/4/16,LOT014821,1,0,S0012,Takeyambaru,1,0
2016-03-01,,Curculionidae,0,,2/24/16,3/9/16,LOT009308,0,0,S0013,Takeyambaru,0,0
2016-03-15,LOT025294,Curculionidae,4,,3/9/16,3/23/16,LOT010959,1,0,S0013,Takeyambaru,1,0
2016-04-01,LOT025295,Curculionidae,3,,3/23/16,4/6/16,LOT012020,2,0,S0013,Takeyambaru,2,0
2016-04-15,LOT025296,Curculionidae,6,,4/6/16,4/20/16,LOT013497,2,0,S0013,Takeyambaru,1,0
2016-05-01,LOT025297,Curculionidae,4,,4/20/16,5/4/16,LOT014701,1,0,S0013,Takeyambaru,1,0
2016-03-01,LOT025299,Curculionidae,2,,2/24/16,3/9/16,LOT009639,2,0,S0014,Takeyambaru,2,0
2016-03-15,LOT025300,Curculionidae,8,,3/9/16,3/23/16,LOT010911,6,0,S0014,Takeyambaru,6,0
2016-04-01,LOT025301,Curculionidae,7,,3/23/16,4/6/16,LOT012116,6,2,S0014,Takeyambaru,4,2
2016-04-15,LOT025302,Curculionidae,10,,4/6/16,4/20/16,LOT013459,5,0,S0014,Takeyambaru,5,0
2016-05-01,LOT025303,Curculionidae,8,,4/20/16,5/4/16,LOT014908,5,0,S0014,Takeyambaru,5,0
2016-03-01,LOT025235,Curculionidae,6,,2/19/16,3/4/16,LOT007105,4,4,S0015,Hentona,2,2
2016-03-15,LOT025236,Curculionidae,10,,3/4/16,3/18/16,LOT010929,8,4,S0015,Hentona,4,4
2016-04-01,LOT025237,Curculionidae,12,,3/18/16,4/1/16,LOT011892,11,5,S0015,Hentona,6,5
2016-04-15,LOT025238,Curculionidae,29,,4/1/16,4/15/16,LOT013360,15,9,S0015,Hentona,11,4
2016-05-01,LOT025244,Curculionidae,33,,4/15/16,4/29/16,LOT014556,15,7,S0015,Hentona,12,3
2016-03-01,LOT025245,Curculionidae,6,,2/19/16,3/4/16,LOT007003,6,0,S0016,Hentona,6,0
2016-03-15,LOT025246,Curculionidae,17,,3/4/16,3/18/16,LOT011178,10,6,S0016,Hentona,8,2
2016-04-01,LOT025247,Curculionidae,8,,3/18/16,4/1/16,LOT011972,7,1,S0016,Hentona,6,1
2016-04-15,LOT025248,Curculionidae,37,,4/1/16,4/15/16,LOT013293,12,17,S0016,Hentona,7,5
2016-05-01,LOT025249,Curculionidae,66,,4/15/16,4/29/16,LOT014607,16,14,S0016,Hentona,11,5
2016-03-01,LOT025258,Curculionidae,3,,2/19/16,3/4/16,LOT007090,2,1,S0017,Hentona,1,1
2016-03-15,LOT025259,Curculionidae,4,,3/4/16,3/18/16,LOT011048,4,1,S0017,Hentona,3,1
2016-04-01,LOT025260,Curculionidae,8,,3/18/16,4/1/16,LOT011838,6,4,S0017,Hentona,3,3
2016-04-15,LOT025261,Curculionidae,9,,4/1/16,4/15/16,LOT013198,7,4,S0017,Hentona,3,4
2016-05-01,LOT025262,Curculionidae,13,,4/15/16,4/29/16,LOT014575,10,3,S0017,Hentona,7,3
2016-03-01,LOT025188,Curculionidae,4,OK00857,2/19/16,3/4/16,LOT006948,2,0,S0021,Genka,,
2016-03-15,LOT025189,Curculionidae,1,OK00998,3/4/16,3/18/16,LOT009671,1,0,S0021,Genka,,
2016-04-01,LOT025190,Curculionidae,1,OK01075,3/18/16,4/1/16,LOT011941,1,0,S0021,Genka,,
2016-04-15,LOT025191,Curculionidae,4,OK01139,4/1/16,4/15/16,LOT013257,2,0,S0021,Genka,,
2016-05-01,LOT025192,Curculionidae,3,OK01212,4/15/16,4/29/16,LOT014485,1,0,S0021,Genka,,
2016-03-01,LOT025193,Curculionidae,8,,2/19/16,3/4/16,LOT006989,3,1,S0022,Genka,2,1
2016-03-15,LOT025194,Curculionidae,9,,3/4/16,3/18/16,LOT009760,6,3,S0022,Genka,4,2
2016-04-01,LOT025195,Curculionidae,20,,3/18/16,4/1/16,LOT011912,7,5,S0022,Genka,5,2
2016-04-15,LOT025196,Curculionidae,29,,4/1/16,4/15/16,LOT013275,8,6,S0022,Genka,5,3
2016-05-01,LOT025197,Curculionidae,32,,4/15/16,4/29/16,LOT014685,6,3,S0022,Genka,4,2
2016-03-01,LOT025203,Curculionidae,1,,2/19/16,3/4/16,LOT006975,1,0,S0023,Genka,1,0
2016-03-15,LOT025204,Curculionidae,2,,3/4/16,3/18/16,LOT011064,2,0,S0023,Genka,2,0
2016-04-01,LOT025205,Curculionidae,5,,3/18/16,4/1/16,LOT011925,5,4,S0023,Genka,1,4
2016-04-15,LOT025206,Curculionidae,10,,4/1/16,4/15/16,LOT013143,5,8,S0023,Genka,1,4
2016-05-01,LOT025207,Curculionidae,8,,4/15/16,4/29/16,LOT014448,5,4,S0023,Genka,2,3
2016-03-01,LOT025213,Curculionidae,1,,2/19/16,3/4/16,LOT006925,1,0,S0024,Yona,1,0
2016-03-15,LOT025214,Curculionidae,6,,3/4/16,3/18/16,LOT011018,6,0,S0024,Yona,6,0
2016-04-01,LOT025215,Curculionidae,7,,3/18/16,4/1/16,LOT012102,5,0,S0024,Yona,5,0
2016-04-15,LOT025216,Curculionidae,24,,4/1/16,4/15/16,LOT013376,8,1,S0024,Yona,7,1
