time,lot_code,taxonomic_group,specimen_count,collection_event_code,date_collected_start,date_collected_end,parent_lot,num_morpho_spp,num_bark_beetle_specimens,trap,site_name,num_weevils_spp,num_bark_beetles_spp
2016-03-01,LOT025213,Curculionidae,1,,2016-02-19,2016-03-04,LOT006925,1,0,S0024,Yona,1,0
2016-03-15,LOT025214,Curculionidae,6,,2016-03-04,2016-03-18,LOT011018,6,0,S0024,Yona,6,0
2016-04-01,LOT025215,Curculionidae,7,,2016-03-18,2016-04-01,LOT012102,5,0,S0024,Yona,5,0
2016-04-15,LOT025216,Curculionidae,24,,2016-04-01,2016-04-15,LOT013376,8,1,S0024,Yona,7,1
2016-05-01,LOT025217,Curculionidae,25,,2016-04-15,2016-04-29,LOT014591,9,1,S0024,Yona,8,1
2016-03-01,LOT025218,Curculionidae,2,,2016-02-19,2016-03-04,LOT006820,2,0,S0025,Yona,2,0
2016-03-15,LOT025219,Curculionidae,5,,2016-03-04,2016-03-18,LOT010946,4,0,S0025,Yona,5,0
2016-04-01,LOT025220,Curculionidae,14,,2016-03-18,2016-04-01,LOT012046,7,0,S0025,Yona,7,0
2016-04-15,LOT025221,Curculionidae,43,,2016-04-01,2016-04-15,LOT013221,7,1,S0025,Yona,6,1
2016-05-01,LOT025222,Curculionidae,53,,2016-04-15,2016-04-29,LOT014517,16,0,S0025,Yona,16,0
2016-03-01,LOT025227,Curculionidae,2,,2016-02-19,2016-03-04,LOT007123,2,0,S0026,Yona,2,0
2016-03-15,LOT025228,Curculionidae,7,,2016-03-04,2016-03-18,LOT010865,6,0,S0026,Yona,6,0
2016-04-01,LOT025229,Curculionidae,15,,2016-03-18,2016-04-01,LOT012008,5,0,S0026,Yona,5,0
2016-04-15,LOT025230,Curculionidae,19,,2016-04-01,2016-04-15,LOT013180,8,0,S0026,Yona,8,0
2016-05-01,LOT025231,Curculionidae,43,,2016-04-15,2016-04-29,LOT014501,12,1,S0026,Yona,11,1
